kV,Minutes,PlottingPosition
26,5.79,16.3
26,1579.52,50.0
26,2323.70,83.3
28,68.85,10.0
28,108.29,30.0
28,110.29,50.0
28,426.07,70.0
28,1067.60,90.0
30,7.74,4.5
30,17.05,13.6
30,20.46,22.7
30,21.02,31.8
30,22.66,40.9
30,43.40,50.0
30,47.30,59.1
30,139.07,68.2
30,144.12,77.3
30,175.88,86.4
30,194.90,95.5
32,0.27,3.3
32,0.40,10.0
32,0.69,16.7
32,0.79,23.3
32,2.75,30.0
32,3.91,36.7
32,9.88,43.3
32,13.95,50.0
32,15.93,56.7
32,27.80,63.3
32,53.24,70.0
32,82.85,76.7
32,89.29,83.3
32,100.58,90.0
32,215.10,96.7
34,0.19,2.6
34,0.78,7.9
34,0.96,13.2
34,1.31,18.4
34,2.78,23.7
34,3.16,28.9
34,4.15,34.2
34,4.67,39.5
34,4.85,44.7
34,6.50,50.0
34,7.35,55.3
34,8.01,60.5
34,8.27,65.8
34,12.06,71.1
34,31.75,76.3
34,32.52,81.6
34,33.91,86.8
34,36.71,92.1
34,72.89,97.4
36,0.35,3.3
36,0.59,10.0
36,0.96,16.7
36,0.99,23.3
36,1.69,30.0
36,1.97,36.7
36,2.07,43.3
36,2.58,50.0
36,2.71,56.7
36,2.90,63.3
36,3.67,70.0
36,3.99,76.7
36,5.35,83.3
36,13.77,90.0
36,25.50,96.7
38,0.09,6.2
38,0.39,18.7
38,0.47,31.2
38,0.73,43.7
38,0.74,56.2
38,1.13,68.7
38,1.40,81.2
38,2.38,93.7
